cancel,1239,1
cancel,1277,6
half,110,1
half,123,1
half,177,1
half,224,1
half,262,1
half,338,1
half,420,1
half,423,2
half,512,1
half,560,1
half,564,2
half,643,1
half,688,3
half,857,1
half,913,1
half,915,1
half,929,1
half,1040,1
half,1114,2
half,1134,1
half,1136,1
half,1198,1
half,1201,2
half,1208,2
half,1218,4
abrupt,439,1
abrupt,662,1
abrupt,992,1
abrupt,1039,1
hall,208,2
hall,488,1
hall,1221,2
strouhal,721,1
photothermoelast,30,2
photothermoelast,195,2
photothermoelast,462,1
photothermoelast,463,4
photothermoelast,497,1
imperfect,193,2
imperfect,583,1
imperfect,739,1
imperfect,760,4
imperfect,822,5
imperfect,823,3
imperfect,824,2
imperfect,825,5
imperfect,849,4
imperfect,930,1
imperfect,951,1
imperfect,975,3
imperfect,998,2
imperfect,1013,4
imperfect,1016,1
imperfect,1017,4
imperfect,1019,1
imperfect,1033,3
imperfect,1051,1
imperfect,1069,1
imperfect,1119,1
imperfect,1122,5
imperfect,1132,1
mathemat,49,1
mathemat,73,2
mathemat,78,1
mathemat,128,1
mathemat,130,1
mathemat,152,2
mathemat,164,1
mathemat,207,1
mathemat,328,1
mathemat,341,1
mathemat,367,1
mathemat,388,1
mathemat,402,1
mathemat,410,1
mathemat,417,1
mathemat,459,1
mathemat,489,1
mathemat,539,1
mathemat,677,1
mathemat,732,1
mathemat,760,1
mathemat,767,1
mathemat,820,1
mathemat,825,1
mathemat,826,1
mathemat,869,1
mathemat,933,1
mathemat,977,1
mathemat,980,1
mathemat,987,1
mathemat,1056,1
mathemat,1072,1
mathemat,1119,1
mathemat,1184,1
mathemat,1190,1
mathemat,1301,1
mathemat,1303,1
mathemat,1342,1
mathemat,1376,2
mathemat,1383,1
srn1,649,2
ten,127,2
ten,452,1
ten,746,1
ten,760,1
ten,1082,2
homann,328,1
liquidslosh,764,1
sake,202,1
sake,414,1
minimalsurfac,1373,1
enginepropel,42,1
4981,693,1
stabil,9,1
stabil,36,2
stabil,54,1
stabil,55,3
stabil,67,1
stabil,73,4
stabil,78,5
stabil,79,1
stabil,80,2
stabil,141,1
stabil,187,1
stabil,201,2
stabil,207,2
stabil,251,2
stabil,284,3
stabil,286,1
stabil,290,3
stabil,337,1
stabil,344,1
stabil,349,1
stabil,367,2
stabil,417,8
stabil,418,1
stabil,426,1
stabil,451,2
stabil,496,1
stabil,504,3
stabil,516,1
stabil,532,3
stabil,598,1
stabil,599,7
stabil,600,2
stabil,634,1
stabil,650,1
stabil,685,2
stabil,708,1
stabil,712,2
stabil,713,4
stabil,715,1
stabil,717,1
stabil,743,1
stabil,759,2
stabil,782,3
stabil,790,2
stabil,792,3
stabil,814,4
stabil,815,3
stabil,824,1
stabil,829,1
stabil,838,1
stabil,839,1
stabil,841,1
stabil,843,1
stabil,856,1
stabil,859,2
stabil,862,1
stabil,889,1
stabil,898,1
stabil,915,1
stabil,916,1
stabil,917,2
stabil,918,1
stabil,929,3
stabil,931,2
stabil,933,1
stabil,934,2
stabil,938,2
stabil,947,1
stabil,948,3
stabil,956,1
stabil,1000,4
stabil,1001,3
stabil,1013,1
stabil,1014,1
stabil,1019,1
stabil,1030,2
stabil,1031,1
stabil,1035,2
stabil,1051,1
stabil,1067,1
stabil,1069,1
stabil,1070,2
stabil,1071,2
stabil,1072,1
stabil,1105,1
stabil,1113,1
stabil,1117,1
stabil,1118,1
stabil,1119,5
stabil,1129,1
stabil,1130,1
stabil,1145,1
stabil,1162,2
stabil,1163,2
stabil,1171,3
stabil,1172,3
stabil,1173,1
stabil,1205,1
stabil,1242,6
stabil,1264,2
stabil,1268,3
stabil,1287,1
stabil,1292,2
stabil,1300,2
stabil,1320,1
stabil,1321,4
stabil,1322,3
stabil,1349,4
stabil,1350,2
stabil,1356,2
stabil,1357,1
stabil,1358,1
stabil,1377,1
stabil,1379,1
stabil,1380,1
stabil,1381,1
stabil,1386,1
stabil,1387,1
stabil,1392,3
stabil,1398,1
vgroov,1127,1
tangentcon,232,2
tangentcon,593,1
tangentcon,1310,1
0,44,1
0,59,1
0,104,1
0,131,1
0,157,1
0,174,1
0,193,1
0,206,1
0,225,2
0,282,2
0,289,1
0,304,1
0,314,1
0,325,1
0,423,1
0,452,1
0,459,1
0,474,1
0,478,2
0,479,2
0,521,1
0,522,1
0,548,2
0,564,2
0,566,1
0,605,1
0,634,2
0,673,1
0,685,1
0,696,1
0,699,2
0,700,1
0,709,1
0,734,1
0,738,1
0,748,6
0,766,1
0,793,2
0,794,3
0,797,2
0,812,1
0,857,1
0,858,1
0,946,1
0,948,1
0,992,1
0,999,1
0,1003,1
0,1028,1
0,1062,1
0,1195,1
0,1250,1
0,1251,2
0,1285,1
0,1289,1
0,1292,1
0,1307,1
0,1337,1
0,1339,1
0,1349,1
0,1351,1
1,7,1
1,18,1
1,21,1
1,28,1
1,40,1
1,42,1
1,49,1
1,59,2
1,64,1
1,72,1
1,73,1
1,77,2
1,80,1
1,85,1
1,94,1
1,95,3
1,100,1
1,110,2
1,129,1
1,131,1
1,138,1
1,139,2
1,162,1
1,163,1
1,165,2
1,171,1
1,178,1
1,190,1
1,193,2
1,198,1
1,202,2
1,213,3
1,218,1
1,225,2
1,234,1
1,239,1
1,247,2
1,252,2
1,270,1
1,271,1
1,272,1
1,282,1
1,294,1
1,295,1
1,300,1
1,315,1
1,325,1
1,334,1
1,338,1
1,341,1
1,344,1
1,345,1
1,354,1
1,362,1
1,373,2
1,376,1
1,381,2
1,386,1
1,401,1
1,414,1
1,417,1
1,422,1
1,450,1
1,452,1
1,458,1
